keys,en,de
 matching, matching, passend
 · also on the reading table, · also on the reading table, · liegt auch auf dem Lesetisch
 · drag to rearrange, · drag to rearrange, · ziehen zum Umsortieren
 · empty · tap + or pick from the tray, · empty · tap + or pick from the tray, · leer · tippe + oder wähle aus der Ablage
 · finished %s, · finished %s, · beendet am %s
 · tap a shelf to open it, · tap a shelf to open it, · tippe ein Regal an
%d books,%d books,%d Bücher
%d books · %d rooms · covers cached in the app's private storage.,%d books · %d rooms · covers cached in the app's private storage.,%d Bücher · %d Räume · Cover liegen im privaten Speicher der App.
%d covers turned out,%d covers turned out,%d Cover nach vorne gedreht
%d pages,%d pages,%d Seiten
%d results · tap Add,%d results · tap Add,%d Treffer · tippe Hinzufügen
%d shelves,%d shelves,%d Regale
%s is now a %s,%s is now a %s,%s ist jetzt ein %s
%s wall,%s wall,%s-Wand
%s wall · spot %d,%s wall · spot %d,%s-Wand · Platz %d
%s wall → %s,%s wall → %s,%s-Wand → %s
%s · %s wall,%s · %s wall,%s · %s-Wand
1 book,1 book,1 Buch
1 cover turned out,1 cover turned out,1 Cover nach vorne gedreht
1 result · tap Add,1 result · tap Add,1 Treffer · tippe Hinzufügen
1 shelf,1 shelf,1 Regal
A small plate on the front of the case carrying this shelf's name.,A small plate on the front of the case carrying this shelf's name.,Ein kleines Schild vorne am Regal mit dem Namen dieses Regals.
Add,Add,Hinzufügen
Add a book,Add a book,Buch hinzufügen
Add a shelf,Add a shelf,Regal hinzufügen
Add shelf,Add shelf,Neues Regal
Add to library,Add to library,Zur Bibliothek hinzufügen
Added,Added,Hinzugefügt
Added “%s” to %s,Added “%s” to %s,„%s“ hinzugefügt: %s
All,All,Alle
All %d books move to the tray so you can place them elsewhere.,All %d books move to the tray so you can place them elsewhere.,"Alle %d Bücher wandern in die Ablage, damit du sie woanders einordnen kannst."
"All %d books, every room and shelf are removed. Settings are kept. This cannot be undone.","All %d books, every room and shelf are removed. Settings are kept. This cannot be undone.","Alle %d Bücher, jeder Raum und jedes Regal werden gelöscht. Einstellungen bleiben. Das lässt sich nicht rückgängig machen."
All books · %d,All books · %d,Alle Bücher · %d
Archive,Archive,Archivieren
Archive a book from its detail sheet to take it off the shelves without deleting it. Restoring it puts it back on a free spot.,Archive a book from its detail sheet to take it off the shelves without deleting it. Restoring it puts it back on a free spot.,"Archiviere ein Buch über seine Detailansicht, um es aus den Regalen zu nehmen, ohne es zu löschen. Wiederherstellen stellt es auf einen freien Platz zurück."
Archive box,Archive box,Archivkiste
Archive box · %d,Archive box · %d,Archivkiste · %d
Archived,Archived,Archiviert
Archived books are out of the shelves. Restore one to put it back on a free spot.,Archived books are out of the shelves. Restore one to put it back on a free spot.,"Archivierte Bücher stehen nicht im Regal. Stelle eines wieder her, um es auf einen freien Platz zu setzen."
"Armchair, side table, lamp and the style's own touches.","Armchair, side table, lamp and the style's own touches.","Sessel, Beistelltisch, Lampe und die Details des Stils."
Auto (19–07),Auto (19–07),Auto (19–07)
Average %.1f,Average %.1f,Durchschnitt %.1f
Back on %s,Back on %s,Zurück auf %s
Back to room,Back to room,Zurück zum Raum
"Bed with pillows, nightstand lamp, rug and a sleeping cat.","Bed with pillows, nightstand lamp, rug and a sleeping cat.","Bett mit Kissen, Nachttischlampe, Teppich und eine schlafende Katze."
Bedroom,Bedroom,Schlafzimmer
Book,Book,Buch
Books,Books,Bücher
Brass,Brass,Messing
Camera,Camera,Kamera
Cancel,Cancel,Abbrechen
"Candelabras, a lectern with an open tome, a crystal ball and a candle chandelier.","Candelabras, a lectern with an open tome, a crystal ball and a candle chandelier.","Kandelaber, ein Lesepult mit aufgeschlagenem Folianten, eine Kristallkugel und ein Kerzenleuchter."
Choose CSV file,Choose CSV file,CSV-Datei wählen
Could not read any books from that file. Is it a Goodreads export?,Could not read any books from that file. Is it a Goodreads export?,Aus dieser Datei konnten keine Bücher gelesen werden. Ist es ein Goodreads-Export?
Cover out,Cover out,Cover nach vorne
Covers out,Covers out,Cover nach vorne
Cozy Cabin,Cozy Cabin,Gemütliche Hütte
Dark Academia,Dark Academia,Dark Academia
"Dark sky outside, moonlight, lamps and fire carry the room.","Dark sky outside, moonlight, lamps and fire carry the room.","Dunkler Himmel draußen, Mondlicht, Lampen und Feuer tragen den Raum."
Data,Data,Daten
Delete all books and rooms,Delete all books and rooms,Alle Bücher und Räume löschen
Delete all,Delete all,Alles löschen
Delete everything?,Delete everything?,Alles löschen?
Delete room,Delete room,Raum löschen
Delete shelf,Delete shelf,Regal löschen
Delete this room,Delete this room,Diesen Raum löschen
Delete “%s”?,Delete “%s”?,„%s“ löschen?
Details,Details,Details
Details updated from the catalogue,Details updated from the catalogue,Details aus dem Katalog aktualisiert
Deutsch,Deutsch,Deutsch
Done. Covers fetched for your new books.,Done. Covers fetched for your new books.,Fertig. Cover für deine neuen Bücher geladen.
Doors: ,Doors: ,Türen: 
Drop here to move the book to the tray,Drop here to move the book to the tray,"Hier loslassen, um das Buch in die Ablage zu legen"
East,East,Ost
Edit book,Edit book,Buch bearbeiten
Edit details,Edit details,Bearbeiten
Empty shelf,Empty shelf,Regal leeren
Empty this shelf?,Empty this shelf?,Dieses Regal leeren?
Empty to tray,Empty to tray,In die Ablage
English,English,English
Enter by hand,Enter by hand,Manuell eingeben
"Exposed brick, concrete floor and light oak.","Exposed brick, concrete floor and light oak.","Sichtziegel, Betonboden und helle Eiche."
Fantasy library,Fantasy library,Fantasy-Bibliothek
Fetch cover,Fetch cover,Cover laden
Fetch missing covers,Fetch missing covers,Fehlende Cover laden
